id,name,location,background,incomeLevel,personalityType,tier,isGraduate,avatarUrl
17,"Wendy A.","Richmond, VA","professor","$6.4K/mo","leader",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w21u6000oxym9cil1hvzg.png"
18,"Brittany J.","Worcester, MA","medical assistant","$4.6K/mo","questioner",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w21z6000pxym9nhhbdts3.png"
19,"Sherry A.","Modesto, CA","grandma","$10.3K/mo","struggler",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2247000qxym9hnajc9ot.png"
20,"Deborah R.","Miami, FL","tech","$8.7K/mo","leader",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2297000rxym94cysf1sh.png"
21,"Patricia B.","Anchorage, AK","personal trainer","$8.9K/mo","leader",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w22e7000sxym9hoh42t8b.png"
22,"Maria F.","Jacksonville, FL","personal trainer","$5.9K/mo","questioner",3,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w22j6000txym9ytgevumh.png"
23,"Heather L.","Chicago, IL","pharmacist","$6.5K/mo","struggler",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w22o3000uxym9fa6y5pc7.png"
24,"Doris T.","Baton Rouge, LA","professor","$8.9K/mo","buyer",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w23d8000zxym9kzy3deox.png"
25,"Kimberly W.","Albuquerque, NM","empty nester","$6.7K/mo","struggler",3,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w23i90010xym9w8zi9qxr.png"
26,"Lisa T.","Memphis, TN","grandma","$4.1K/mo","questioner",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w23nc0011xym916nt55ew.png"
27,"Ashley F.","Pittsburgh, PA","massage therapist","$6.5K/mo","questioner",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w23xd0013xym9dpt2qkb9.png"
28,"Alice H.","Minneapolis, MN","professor","$7.8K/mo","buyer",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w242c0014xym9nkxadsrp.png"
29,"Kristin W.","Spokane, WA","psychologist","$9.4K/mo","buyer",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w247f0015xym9xy44c2qq.png"
30,"Margaret B.","Bakersfield, CA","chiropractor","$9.5K/mo","buyer",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w24cg0016xym9zfh0bjo4.png"
31,"Lisa N.","Boston, MA","mom","$7.5K/mo","struggler",3,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w24he0017xym9f9a9xbgj.png"
32,"Kimberly C.","Raleigh, NC","lab tech","$5.2K/mo","struggler",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w24mg0018xym90h0fy2ye.png"
33,"Jennifer W.","Grand Rapids, MI","counselor","$7.6K/mo","questioner",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w24rg0019xym9dd7ivy9v.png"
34,"Ann P.","Indianapolis, IN","engineer","$6.4K/mo","struggler",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w24wg001axym968rpc8jm.png"
35,"Paula J.","Albuquerque, NM","teacher","$10.6K/mo","struggler",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w251h001bxym9kkfu9lt3.png"
36,"Virginia J.","Scottsdale, AZ","lab tech","$10.8K/mo","questioner",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w25gf001exym9v13yuox7.png"
37,"Angela R.","Portland, OR","admin","$8.2K/mo","questioner",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w25ld001fxym9bxc4i3wp.png"
38,"Doris M.","Durham, NC","accountant","$7.8K/mo","struggler",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w25qb001gxym9qj21qcq8.png"
39,"Monica B.","Jacksonville, FL","tech","$12.4K/mo","buyer",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w25vb001hxym9wdecrapn.png"
40,"Sarah F.","Cleveland, OH","professor","$7.5K/mo","buyer",3,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w260a001ixym9dnix0dq7.png"
41,"Evelyn W.","Fort Worth, TX","admin","$9.4K/mo","leader",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w265b001jxym9c5ops5kp.png"
42,"Melissa A.","Chesapeake, VA","teacher","$7.6K/mo","buyer",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w26aa001kxym9djbbc7ph.png"
43,"Danielle F.","San Francisco, CA","professor","$13.2K/mo","struggler",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w26f8001lxym9lij7abga.png"
44,"Amanda C.","Nashville, TN","realtor","$7.1K/mo","buyer",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w26m6001mxym9u5izhuu1.png"
45,"Christine L.","Oklahoma City, OK","personal trainer","$9.1K/mo","leader",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w26rn001nxym982klldfc.png"
46,"Kelly L.","Salt Lake City, UT","nutritionist","$6.1K/mo","struggler",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w271o001pxym9dcprnte4.png"
47,"Martha C.","Pittsburgh, PA","corporate","$7.8K/mo","leader",3,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w276o001qxym9jh1ld2i2.png"
48,"Paula T.","Indianapolis, IN","nurse","$11.2K/mo","leader",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w27bp001rxym97okau8vm.png"
49,"Jill D.","Charlotte, NC","engineer","$9.1K/mo","buyer",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w27gs001sxym9adt84amx.png"
50,"Sharon N.","Providence, RI","massage therapist","$7.1K/mo","buyer",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w27ls001txym91w8gv7ll.png"
51,"Gloria W.","Salt Lake City, UT","esthetician","$6.7K/mo","buyer",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w27qt001uxym9g3llqvjt.png"
52,"Maria B.","Worcester, MA","tech","$13.2K/mo","questioner",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w27vs001vxym9iqxrrmem.png"
53,"Jill P.","Kansas City, MO","chiropractor","$4.3K/mo","questioner",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w280s001wxym9yhq8m2ua.png"
54,"Cynthia W.","Baton Rouge, LA","corporate","$5.7K/mo","buyer",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w285q001xxym9tzbcpe7g.png"
55,"Robin B.","Indianapolis, IN","research scientist","$8.5K/mo","questioner",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w28ao001yxym9mlm8o719.png"
56,"Martha B.","Spokane, WA","psychologist","$7.9K/mo","buyer",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w28fn001zxym9w9thao7w.png"
57,"Janet F.","Portland, OR","grandma","$10.8K/mo","leader",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w28mz0020xym9ptw2i5ef.png"
58,"Crystal C.","Albuquerque, NM","yoga instructor","$4.9K/mo","questioner",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w28sh0021xym9146oivg9.png"
59,"Teresa M.","Houston, TX","yoga instructor","$6.5K/mo","buyer",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w28xl0022xym96bcyg3yy.png"
60,"Mary M.","Tampa, FL","professor","$11.1K/mo","questioner",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w292m0023xym9gp8h513a.png"
61,"Cynthia A.","Baltimore, MD","social worker","$8.1K/mo","struggler",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w297n0024xym97db9zjd4.png"
62,"Laura C.","Baton Rouge, LA","chiropractor","$8.1K/mo","questioner",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w29cn0025xym9v7mmxbwp.png"
63,"Betty W.","Raleigh, NC","esthetician","$10.6K/mo","struggler",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w29hn0026xym9survuxbg.png"
64,"Carla R.","Houston, TX","therapist","$9.5K/mo","buyer",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w29mm0027xym9uqboyaw0.png"
65,"Nicole J.","Minneapolis, MN","medical assistant","$5.6K/mo","struggler",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w29rl0028xym9x7b5ofiw.png"
66,"Catherine A.","Lubbock, TX","tech","$7.5K/mo","buyer",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w29wk0029xym9wk766kl5.png"
67,"Diana L.","Virginia Beach, VA","yoga instructor","$10.6K/mo","buyer",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2a6k002bxym9lkza3wy8.png"
68,"Karen F.","Atlanta, GA","pilates instructor","$6.8K/mo","leader",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2abj002cxym9ygd8tdwr.png"
69,"Nicole T.","Richmond, VA","engineer","$8.7K/mo","leader",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2agh002dxym97a1fana9.png"
70,"Donna E.","Raleigh, NC","engineer","$5.1K/mo","struggler",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2ant002exym9qn2imknk.png"
71,"Joyce H.","Long Beach, CA","research scientist","$6.5K/mo","leader",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2ata002fxym9ntcoo8ar.png"
72,"Carol P.","Cincinnati, OH","single mom","$7.9K/mo","buyer",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2ay8002gxym93rrx8zgk.png"
73,"Brittany K.","Charlotte, NC","physical therapist","$6.5K/mo","buyer",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2b36002hxym9kw3dinbj.png"
74,"Kristin P.","Pittsburgh, PA","marketing","$5.1K/mo","questioner",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2b86002ixym906ege13z.png"
75,"Sherry B.","Las Vegas, NV","massage therapist","$4.2K/mo","leader",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2bd7002jxym97indmtop.png"
76,"Frances C.","Portland, OR","research scientist","$10.3K/mo","struggler",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2bi9002kxym9r8lw4hcq.png"
77,"Rebecca T.","Miami, FL","stay-at-home mom","$4.7K/mo","buyer",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2bn9002lxym9emodbouu.png"
78,"Ann T.","Honolulu, HI","tech","$8.2K/mo","leader",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2bs8002mxym9yy91hhiy.png"
79,"Carla L.","Salt Lake City, UT","dental hygienist","$8.2K/mo","buyer",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2bxa002nxym9nxvegwj0.png"
80,"Karen K.","Boise, ID","mom","$4.7K/mo","struggler",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2c29002oxym9cdtqk6u5.png"
81,"Julie S.","Oklahoma City, OK","pharmacist","$4.2K/mo","leader",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2c77002pxym9muh5ito1.png"
82,"Paula S.","Laredo, TX","admin","$6.2K/mo","leader",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2cc6002qxym9eebuy8u1.png"
83,"Stephanie N.","Baton Rouge, LA","empty nester","$8.5K/mo","struggler",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2ch4002rxym9e6nndsu4.png"
84,"Sharon R.","Cleveland, OH","social worker","$6.9K/mo","buyer",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2cm3002sxym91c6gqb17.png"
85,"Brenda M.","Sacramento, CA","chiropractor","$6.4K/mo","buyer",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2cu3002txym9wexw43sn.png"
86,"Danielle L.","Richmond, VA","social worker","$12.4K/mo","buyer",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2cz2002uxym9yixg74lh.png"
87,"Cheryl D.","Cincinnati, OH","therapist","$7.8K/mo","struggler",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2d42002vxym9yr49zjfd.png"
88,"Jennifer E.","Chandler, AZ","nurse","$5.2K/mo","struggler",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2d91002wxym9tfsojpyn.png"
89,"Diana D.","Raleigh, NC","teacher","$5.8K/mo","buyer",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2de0002xxym9lpfpnorj.png"
90,"Frances M.","Baltimore, MD","realtor","$5.7K/mo","struggler",3,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2diz002yxym9ij0r9x9q.png"
91,"Maria H.","Cleveland, OH","counselor","$5.8K/mo","leader",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2dnx002zxym9b0pxkfs6.png"
92,"Gina P.","Boise, ID","personal trainer","$7.9K/mo","leader",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2dsv0030xym9icuvuaxi.png"
93,"Amy G.","Honolulu, HI","military spouse","$7.1K/mo","buyer",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2dxu0031xym9jp4zfb70.png"
94,"Donna S.","Madison, WI","EMT","$8.9K/mo","questioner",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2e2s0032xym9d5fsqb2k.png"
95,"Jessica R.","Denver, CO","fitness trainer","$5.4K/mo","leader",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2e7q0033xym9okrn02i2.png"
96,"Carla M.","Sacramento, CA","educator","$8.4K/mo","questioner",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2ecq0034xym9ux43gjmh.png"
97,"Denise K.","Memphis, TN","HR","$5.4K/mo","buyer",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2eho0035xym960wxu2u4.png"
98,"Carla C.","Anchorage, AK","medical assistant","$9.7K/mo","leader",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2emp0036xym93zlylasw.png"
99,"Monica J.","Atlanta, GA","fitness trainer","$8.1K/mo","questioner",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2ern0037xym9ebpnwqxy.png"
100,"Dawn T.","Portland, OR","pharmacist","$5.6K/mo","questioner",3,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2ewn0038xym90dwp8k2i.png"
101,"Rebecca H.","Long Beach, CA","social worker","$7.6K/mo","struggler",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2f440039xym939batlr0.png"
102,"Michelle B.","Anchorage, AK","NP","$5.8K/mo","struggler",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2f9h003axym9co8jzhgl.png"
103,"Betty F.","Reno, NV","medical assistant","$6.9K/mo","questioner",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2feg003bxym9zeutye5d.png"
104,"Christine K.","Nashville, TN","admin","$7.5K/mo","leader",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2fje003cxym9kzjny7q9.png"
105,"Stephanie C.","Milwaukee, WI","HR","$9.4K/mo","struggler",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2fog003dxym92456w122.png"
106,"Laura P.","Honolulu, HI","fitness trainer","$4.6K/mo","leader",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2ftg003exym9i74n1qk0.png"
107,"Sharon P.","Nashville, TN","corporate","$9.4K/mo","leader",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2fyi003fxym9o31hrf1c.png"
108,"Ann B.","Cleveland, OH","esthetician","$7.6K/mo","questioner",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2g3i003gxym9ao6tx8xw.png"
109,"Maria T.","Baton Rouge, LA","counselor","$8.2K/mo","buyer",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2g8h003hxym920cnj5dj.png"
110,"Andrea H.","Las Vegas, NV","engineer","$10.6K/mo","struggler",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2gdf003ixym9pvtyiugt.png"
111,"Mary K.","Shreveport, LA","school counselor","$9.7K/mo","leader",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2gih003jxym9j3gihfj6.png"
112,"Heather A.","Orlando, FL","lab tech","$5.1K/mo","buyer",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2gnf003kxym9mvgml6qq.png"
113,"Monica N.","Modesto, CA","empty nester","$6.1K/mo","leader",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2gse003lxym9r2ticung.png"
114,"Martha A.","Orlando, FL","professor","$11.5K/mo","struggler",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2gxc003mxym97x4f1neg.png"
115,"Sarah P.","Long Beach, CA","physical therapist","$7.8K/mo","struggler",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2h2a003nxym9hm6blwzw.png"
116,"Sharon W.","Shreveport, LA","chiropractor","$6.1K/mo","struggler",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2haa003oxym9mrh3bkcb.png"
117,"Tammy R.","San Diego, CA","military spouse","$6.4K/mo","buyer",3,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2hf8003pxym9jcr75xug.png"
118,"Joyce G.","Durham, NC","corporate","$8.9K/mo","buyer",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2hk6003qxym9lts88jfy.png"
119,"Gloria F.","Charleston, SC","RN","$7.6K/mo","struggler",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2hp5003rxym93bmsrb4y.png"
120,"Alice R.","Laredo, TX","NP","$4.5K/mo","questioner",2,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2hu3003sxym9b0kpwcax.png"
121,"Rebecca M.","Knoxville, TN","military spouse","$5.9K/mo","struggler",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2hz5003txym9nxz70v69.png"
122,"Tina M.","Fresno, CA","mom","$4.7K/mo","questioner",3,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2i44003uxym99zhdkmcz.png"
123,"Robin K.","Tulsa, OK","school counselor","$10.2K/mo","buyer",1,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2i92003vxym9hg9p8de8.png"
124,"Margaret A.","Lubbock, TX","engineer","$7.9K/mo","leader",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2idz003wxym926l97jkn.png"
125,"Denise B.","Fort Worth, TX","HR","$9.5K/mo","leader",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2iiz003xxym939obok9e.png"
126,"Tracy T.","Savannah, GA","realtor","$9.7K/mo","struggler",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2inz003yxym9p01z8asg.png"
127,"Jessica M.","Miami, FL","fitness trainer","$7.4K/mo","leader",1,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2isw003zxym9sei2cmsu.png"
128,"Heather S.","Las Vegas, NV","mom","$8.5K/mo","struggler",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2ixv0040xym932q3k36t.png"
129,"Denise L.","Atlanta, GA","EMT","$5.9K/mo","struggler",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2j2x0041xym9f8543mkl.png"
130,"Gina G.","Jacksonville, FL","massage therapist","$11.2K/mo","leader",2,false,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2j810042xym9ez7hr9kf.png"
131,"Carolyn D.","Tucson, AZ","NP","$5.5K/mo","questioner",3,true,"https://pub-bc3849663dc849e59aee2d3c517f51e1.r2.dev/avatars/zombie-cmk8w2jd20043xym9aop1uila.png"
